time,side,price,quantity
34447704340375,LiftAsk,5874100,32
34447861635920,LiftAsk,5873800,80
34447985511124,HitBid,5874100,100
34448756168052,LiftAsk,5873500,100
34450606913233,HitBid,5872500,100
34450607403716,HitBid,5872500,100
34450608445600,HitBid,5872500,46
34451275681152,LiftAsk,5873700,100
34451276696731,LiftAsk,5874000,40
34452221847050,LiftAsk,5874300,200
34453209912744,LiftAsk,5873800,100
34453782443664,LiftAsk,5873600,50
34454470174846,LiftAsk,5873600,50
34456557221823,LiftAsk,5873300,5
34456595275740,LiftAsk,5874700,5
34456595275740,LiftAsk,5874800,233
34456679041337,LiftAsk,5874800,17
34456725108380,LiftAsk,5874900,19
34456970772726,LiftAsk,5875000,10
34456970772726,LiftAsk,5875000,90
34457352661301,LiftAsk,5875000,100
34457454580377,HitBid,5875000,7
34457454580377,HitBid,5875000,3
34457454580377,HitBid,5875000,190
34457551110260,LiftAsk,5875800,21
34457551110260,LiftAsk,5875900,79
34457551889618,LiftAsk,5875900,21
34457618275830,LiftAsk,5876300,100
34457740999010,LiftAsk,5876400,23
34457740999010,LiftAsk,5876500,77
34458127370828,LiftAsk,5876500,123
34458127370828,LiftAsk,5876500,2
34458758947786,LiftAsk,5877100,100
34458763191426,LiftAsk,5877200,100
34458767770266,LiftAsk,5877500,100
34460118737511,LiftAsk,5877600,100
34460118879028,LiftAsk,5877700,25
34460153150034,LiftAsk,5878000,45
34460153150034,LiftAsk,5878000,55
34469926701869,HitBid,5875000,10
34469926701869,HitBid,5872800,20
34472368248945,HitBid,5872800,10
34472368922080,HitBid,5872100,54
34476356780597,LiftAsk,5872200,100
34476400132559,LiftAsk,5872900,16
34476400415340,LiftAsk,5873000,20
34476410584783,LiftAsk,5874500,100
34476595625226,LiftAsk,5874600,77
34477789079854,LiftAsk,5874600,23
34477789079854,LiftAsk,5874600,177
34477810584091,LiftAsk,5874600,123
34477840452739,LiftAsk,5874900,100
34477877668209,LiftAsk,5876200,100
34477877668209,LiftAsk,5876200,100
34484752228970,HitBid,5872100,100
34484811613241,HitBid,5872100,100
34484844559554,HitBid,5872100,100
34485038096206,HitBid,5872100,1
34485038180158,HitBid,5872100,99
34485053907084,HitBid,5872100,100
34486956184920,HitBid,5872100,60
34486956667180,HitBid,5871500,60
34487196542037,HitBid,5871500,35
34489337268509,LiftAsk,5871900,100
34489337482773,HitBid,5871800,100
34489337917865,HitBid,5871500,25
34489338208755,HitBid,5871500,100
34489338308309,HitBid,5871500,56
34489338309724,HitBid,5871500,110
34489338438102,HitBid,5871500,14
34490349605843,LiftAsk,5871100,5
34490654071002,LiftAsk,5871500,2
34491357625434,LiftAsk,5873000,100
34491404802848,LiftAsk,5873000,5
34491591305680,LiftAsk,5873200,5
34491725496113,LiftAsk,5873300,5
34492983172360,LiftAsk,5872500,85
34492983375851,HitBid,5872200,80
34495024324323,HitBid,5872100,100
34502089448146,HitBid,5871500,100
34502089448146,HitBid,5871500,54
34503039184973,HitBid,5870600,52
34503650873032,HitBid,5872000,1
34503650943060,HitBid,5872000,19
34506462597215,HitBid,5870600,48
34506462597215,HitBid,5870600,52
34506462895168,HitBid,5870600,48
34506462895168,HitBid,5870600,100
34506482015861,HitBid,5870600,19
34506482015861,HitBid,5870500,181
34507960001073,HitBid,5870500,200
34507960322245,HitBid,5870500,69
34508781169140,HitBid,5868600,25
34508781666623,HitBid,5868500,100
34508783482833,LiftAsk,5869300,48
34508783537663,LiftAsk,5869300,52
34508784367913,HitBid,5868500,5
34508784611721,HitBid,5868500,95
34515825455530,HitBid,5869000,35
34515845048199,HitBid,5869000,100
34516614038979,HitBid,5869000,52
34516614146843,HitBid,5869000,13
34519796515160,LiftAsk,5869100,1
34522603958558,HitBid,5868300,10
34522604473567,HitBid,5868200,10
34525321707087,LiftAsk,5869200,100
34526512902208,HitBid,5868100,10
34526512902208,HitBid,5868100,100
34526515978337,HitBid,5868000,95
34526547587802,HitBid,5868100,1
34526864925091,HitBid,5868700,10
34526865148331,HitBid,5868000,5
34526865148331,HitBid,5868000,10
34526865148331,HitBid,5868000,100
34526865148331,HitBid,5868000,100
34530980578830,LiftAsk,5867700,100
34531145327981,HitBid,5866800,100
34531480862377,HitBid,5866700,10
34536797390995,HitBid,5867100,10
34537736032328,HitBid,5866200,1
34541300833478,HitBid,5866200,9
34542472842812,HitBid,5866200,4
34543070944604,HitBid,5866200,96
34543070944604,HitBid,5866200,80
34545326137783,HitBid,5865500,100
34545439017507,LiftAsk,5865300,100
34545439906264,LiftAsk,5865300,100
34545439980836,LiftAsk,5865300,100
34552014755858,LiftAsk,5865600,4
34553015553213,HitBid,5866300,20
34555164812322,LiftAsk,5866900,100
34555164925936,LiftAsk,5866900,180
34556611382618,HitBid,5865600,18
34556635051213,HitBid,5865400,27
34556649510536,HitBid,5865400,73
34556649837712,LiftAsk,5865300,100
34556650128777,LiftAsk,5865300,9
34558204112810,HitBid,5865000,75
34561185808550,LiftAsk,5867700,6
34576878439349,LiftAsk,5867000,100
34576966248169,LiftAsk,5867400,100
34576971106605,LiftAsk,5867900,100
34576990929166,LiftAsk,5868600,2
34576990929166,LiftAsk,5868700,78
34577190433459,LiftAsk,5868700,22
34577190433459,LiftAsk,5869000,78
34577268082763,LiftAsk,5868800,2
34577270632724,LiftAsk,5869000,21
34577273077863,LiftAsk,5869000,1
34578214934660,HitBid,5869000,57
34578214987460,HitBid,5869000,43
34578215910708,HitBid,5869000,100
34578215919700,HitBid,5869000,100
34578219958752,LiftAsk,5869300,100
34578220901786,HitBid,5869000,57
34578220947680,HitBid,5869000,43
34578221272239,HitBid,5869000,100
34581658855782,LiftAsk,5869000,100
34581662904895,LiftAsk,5869700,100
34582122947594,LiftAsk,5869600,100
34582123026410,LiftAsk,5869600,100
34582510146056,LiftAsk,5869800,1
34583779803092,LiftAsk,5869800,99
34583780366722,LiftAsk,5869900,100
34583860348886,LiftAsk,5870000,100
34584069210697,LiftAsk,5870000,200
34584069453865,LiftAsk,5870000,700
34584083954878,LiftAsk,5871200,200
34584119135604,LiftAsk,5871200,200
34584564578166,LiftAsk,5871500,50
34584564578166,LiftAsk,5872000,650
34584569128419,LiftAsk,5872000,100
34584569217496,LiftAsk,5872000,100
34584569267075,LiftAsk,5872000,150
34588671077992,LiftAsk,5873800,24
34588671394962,LiftAsk,5873800,20
34596479969027,LiftAsk,5874100,54
34598205675482,LiftAsk,5873500,100
34598975848909,HitBid,5873000,35
34598976071649,HitBid,5873000,65
34599420492551,HitBid,5872000,3
34600722566548,LiftAsk,5872800,3
34602004159919,LiftAsk,5871800,3
