time,bid_price,ask_price
35794695868867,5858000,5860600
35794943782258,5858000,5860300
35795278116087,5858000,5860500
35795278129635,5858000,5860600
35795517433785,5858200,5860600
35795628816434,5858200,5860500
35796009698516,5858200,5860200
35796017320635,5858000,5860200
35796039541761,5858000,5859900
35796063136819,5857900,5859900
35796063312343,5857900,5859800
35796073932755,5857900,5859700
35796429603124,5858200,5859700
35796430547281,5858200,5859600
35796430590423,5858200,5859400
35796431124279,5857900,5859400
35796431227916,5857900,5859100
35796433356197,5857800,5859100
35796577435790,5857800,5859500
35797365432272,5857800,5859400
35797365480828,5857800,5859200
35797387378304,5857800,5859100
35799325908432,5859000,5859100
35799326018356,5859000,5859700
35799326232880,5857800,5859700
35799326333558,5857800,5859600
35799481367855,5857800,5859700
35804821550834,5857900,5859700
35804978345565,5857800,5859700
35805530777509,5858100,5859700
35805655277865,5857800,5859700
35806187799241,5858100,5859700
35806217733634,5858100,5859600
35806545775105,5857800,5859600
35806545777915,5857800,5859700
35806610224547,5858000,5859700
35807049377828,5857800,5859700
35809130114749,5858100,5859700
35809206477484,5858200,5859700
35809208542530,5858200,5860700
35809208628751,5858400,5860700
35809210798502,5858400,5861000
35809210799888,5858400,5860900
35809214403069,5858400,5861000
35809227282233,5858400,5860500
35809559996263,5857800,5860500
35809605807098,5858400,5860500
35810112443398,5857800,5860500
35810168649879,5858000,5860500
35811097661470,5859600,5860500
35812219170211,5858000,5859600
35812219287305,5858100,5859600
35812232657183,5858100,5860400
35812321098357,5858100,5860200
35812505571884,5858200,5860200
35812556185026,5858200,5860400
35812576254072,5858200,5860500
35812580310224,5858200,5861400
35812580948681,5858200,5860700
35812584325182,5858200,5861400
35812584986048,5858200,5860800
35813756054059,5858200,5861400
35813756058574,5858200,5861200
35814607868299,5858500,5861200
35814696605445,5858500,5861400
35814697299512,5858500,5861300
35814732095035,5858500,5861400
35815289054979,5858500,5860400
35815305285353,5858700,5860400
35815845972007,5858500,5860400
35816116819092,5858500,5860300
35816126854877,5858200,5860300
35816211429446,5858700,5860300
35816616290400,5858700,5860400
35819324037487,5858700,5860200
35820492218787,5858700,5860000
35821617262929,5858800,5860000
35826029286560,5859100,5860000
35828180407210,5859100,5860200
35828180487283,5859200,5860200
35828262146221,5859300,5860200
35828451557856,5859100,5860200
35828462547555,5859400,5860200
35828621934153,5859400,5860400
35828622016250,5859500,5860400
35828630067406,5859500,5859800
35828630168582,5859500,5860400
35828630243013,5859600,5860400
35829683632833,5859100,5860400
35829683732204,5859100,5860200
35829735752903,5858800,5860200
35829735835250,5858800,5859900
35830092255656,5858800,5860000
35834750172237,5858800,5859900
35836504602962,5858800,5860000
35836504845018,5858800,5861100
35836504927754,5859900,5861100
35836509722796,5858800,5861100
35836509822608,5858900,5861100
35836510638464,5858900,5861900
35836511338635,5858900,5861200
35836513524820,5858900,5860000
35836514992358,5858900,5861200
35836523810125,5859000,5861200
35836531960152,5859000,5861900
35836534418198,5859000,5861200
35836535551787,5859000,5860000
35836570789327,5859000,5861200
